"scenario","mu","fp","ofs","N","slope.mu","slope.fp","slope.ofs","slope.logN"
"WC_Main",146.207766930588,18.852032454601,49.7482306977155,7249.26906343647,-0.255674620193106,-0.0362143567638355,-0.0766563312050707,-1.41743232735599e-05
"WC_North",147.677670368883,19.2881314858882,39.8864051097385,1018.96980049644,-0.409741556219077,0.0259583025084209,0.365374470957783,0.0645168874612086
"WC_Bailey",146.276901751981,20.1140918320247,46.0207172894456,2412.66070401788,-0.37219572617515,-0.0750872994576473,0.282517628782925,0.076795829715999
"FR_Shore",137.60355002966,17.5994149798655,39.9538193316512,2159.39395515752,-0.356023726997499,0.0652938612724182,0.701415653961045,0.126914841109707
"FR_Eaton",141.180868846924,17.2210384195585,34.7769648221111,1635.16336423697,-0.223936601917685,0.0491179457952054,1.08994001750742,0.178490696759207
"Fir_Butte",144.9650430624,17.4606223504538,42.3590419911004,10448.903502746,-0.371000322894432,0.0862795845358463,0.951969147096795,0.184733371082321
"FR_Spires",138.76577045107,16.1021897143733,35.3117350233753,2040.20816232013,-0.276403001102671,0.104099784766832,0.944355571150157,0.162336202517624
"FR_GreenOaks",138.090669226533,18.2340121769753,46.9418818122098,16316.6596690992,-0.425211434895843,-0.0330525450066973,1.30571130398448,0.329219765236089
"WC_FirGrove",143.06110800392,21.612369678918,40.6084745087392,489.934958110912,-0.436939416236974,7.39314954057681e-07,0.00130827036134362,-0.000963493598979528
